pool_address,pool_name,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals,tvl_usd
0xe21f631f47bfb2bc53ed134e83b8cff00e0ec054,WETH-WBTC,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,0x8e5bbbb09ed1ebde8674cda39a0c169401db4252,WBTC,8,2594856.352
0x15f9eedeebd121fbb238a8a0cae38f4b4a07a585,WETH-GNO,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,2311585.98
0xa227c72a4055a9dc949cae24f54535fe890d3663,USDC-WXDAI,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,USDC,6,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,1533345.177
0x0f9d54d9ee044220a3925f9b97509811924fd269,GNO-WXDAI,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,933210.8404
0x74c2efa722010ad7c142476f525a051084da2c42,USDT-USDC,0x4ecaba5870353805a9f068101a40e0f32ed605c6,USDT,6,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,USDC,6,434945.6806
0xee040b1dedf38a66d2646d3609c36c789f10107a,CLNY-WXDAI,0xc9b6218affe8aba68a13899cbf7cf7f14ddd304c,CLNY,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,400464.102
0x55ff0cef43f0df88226e9d87d09fa036017f5586,GIV-WETH,0x4f4f9b8d5b4d0dc10506e5551b0513b61fd59e75,GIV,18,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,73901.45206
0x53027796a4713eace91988a1c696db764737cb48,WXDAI-MPS,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0xfa57aa7beed63d03aaf85ffd1753f5f6242588fb,MPS,0,69450.26344
0x8c0c36c85192204c8d782f763ff5a30f5ba0192f,WETH-WXDAI,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,37441.6442
0x6685c047eab042297e659bfaa7423e94b4a14b9e,USDT-WXDAI,0x4ecaba5870353805a9f068101a40e0f32ed605c6,USDT,6,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,34774.40544
0x3b1b5f98843df210048527fd931ca6ea2104141d,PBNJ-WETH,0x536dd2e72686d3d7d6a1d4a6febd69ec1b7c05bd,PBNJ,18,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,29237.03857
